"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест создает юзера с пустыми полями, параметризация используется для того, чтобы покрыть проверкамивсе случаи. Проверки оптимизированы с помощью техники попарного тестирования","261","Тест создания юзера c пустыми полями","tests","Thu May 29 18:08:25 MSK 2025","passed","Thu May 29 18:08:25 MSK 2025","TestCreateUser","test_create_user","",""
"Тест создает юзера с валидными рандомными кредами, затем создает заказ для этого юзера и проверяет,что сервер ответил корректно","3099","Тест создания заказа с ингредиентом с авторизацией","tests","Thu May 29 18:08:14 MSK 2025","passed","Thu May 29 18:08:17 MSK 2025","TestCreateOrder","test_create_order","",""
"Тест создает юзера с валидными рандомными кредами, затем создает заказ без ингредиентовдля этого юзера и проверяет, что сервер ответил 400 ошибкой","262","Тест создания заказа без ингредиентов с авторизацией","tests","Thu May 29 18:08:19 MSK 2025","passed","Thu May 29 18:08:19 MSK 2025","TestCreateOrder","test_create_order","",""
"Тест пытается получить заказ с невалидным токеном","269","Тест получения заказа с неправильным токеном","tests","Thu May 29 18:08:27 MSK 2025","passed","Thu May 29 18:08:27 MSK 2025","TestGetOrder","test_get_order","",""
"Тест создает юзера с пустыми полями, параметризация используется для того, чтобы покрыть проверкамивсе случаи. Проверки оптимизированы с помощью техники попарного тестирования","334","Тест создания юзера c пустыми полями","tests","Thu May 29 18:08:24 MSK 2025","passed","Thu May 29 18:08:24 MSK 2025","TestCreateUser","test_create_user","",""
"Тест создает юзера с валидными рандомными кредами, затем проверяет его заказ что сервер ответил корректно","662","Тест получения заказа с авторизацией","tests","Thu May 29 18:08:25 MSK 2025","passed","Thu May 29 18:08:26 MSK 2025","TestGetOrder","test_get_order","",""
"Тест создает юзера с валидными рандомными кредами, потом снова пытается создать юзера с темиже самыми кредами, затем проверяет статус и тело ответа, затем фикстура после yeld удаляет юзера","264","Тест создания уже существующего юзера","tests","Thu May 29 18:08:23 MSK 2025","passed","Thu May 29 18:08:23 MSK 2025","TestCreateUser","test_create_user","",""
"Тест создает юзера с валидными рандомными кредами, затем пытается изменить информацию о нем без авторизациии новым запросом проверяет, что информация изменена не была","535","Тест изменения данных пользователя без авторизации","tests","Thu May 29 18:08:32 MSK 2025","passed","Thu May 29 18:08:33 MSK 2025","TestPatchUser","test_patch_user","",""
"Тест создает юзера с валидными рандомными кредами, затем проверяет, что все полученные поляиз ответа сервера не пусты(т.е. юзер создался, затем фикстура после yeld удаляет юзера","1","Тест создания рандомного юзера","tests","Thu May 29 18:08:22 MSK 2025","passed","Thu May 29 18:08:22 MSK 2025","TestCreateUser","test_create_user","",""
"Тест создает юзера с валидными рандомными кредами, затем изменяет информацию о нем и новым запросомпроверяет, что информация действительно была изменена","535","Тест изменения данных пользователя с авторизацией","tests","Thu May 29 18:08:30 MSK 2025","passed","Thu May 29 18:08:31 MSK 2025","TestPatchUser","test_patch_user","",""
"Тест создает юзера с валидными рандомными кредами, затем авторизует его и проверяет, что телоответа и статус соответствуют ожидаемым","371","Тест авторизации юзера","tests","Thu May 29 18:08:27 MSK 2025","passed","Thu May 29 18:08:28 MSK 2025","TestLoginUser","test_login_user","",""
"Тест создает юзера с пустыми полями, параметризация используется для того, чтобы покрыть проверкамивсе случаи. Проверки оптимизированы с помощью техники попарного тестирования","261","Тест создания юзера c пустыми полями","tests","Thu May 29 18:08:24 MSK 2025","passed","Thu May 29 18:08:25 MSK 2025","TestCreateUser","test_create_user","",""
"Тест создает заказ с неправильным токеном и проверяет, что сервер ответил корректно","264","Тест создания заказа с ингредиентом без авторизации","tests","Thu May 29 18:08:18 MSK 2025","passed","Thu May 29 18:08:18 MSK 2025","TestCreateOrder","test_create_order","",""
"Тест создает юзера с валидными рандомными кредами, затем создает заказ с неверным хэшем продуктовдля этого юзера и проверяет, что сервер ответил 500 ошибкой","264","Тест создания заказа c неверным хэшем продуктов с авторизацией","tests","Thu May 29 18:08:20 MSK 2025","passed","Thu May 29 18:08:20 MSK 2025","TestCreateOrder","test_create_order","",""
"Тест создает юзера с валидными рандомными кредами, затем авторизует его c неправильным паролеми проверяет что авторизация не была успешной","369","Тест авторизации юзера c неправильным паролем","tests","Thu May 29 18:08:29 MSK 2025","passed","Thu May 29 18:08:29 MSK 2025","TestLoginUser","test_login_user","",""
